| 一级    | 二级   | 数量 | 原声总结                             | 小类    | 小小类    | 数量 | 原声举例                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |
| 卡顿    | 打游戏  |    | 苹果 王者 掉帧                         | 王者    |        | 1  | 16pro首发买的，系统是ios26 卡得像盗版一样，具体表现1 饭前打王者或者lolm中途相机按钮切出来拍个菜，不到一份钟再切回游戏已经要重新加载了。2 最近更恐怖到打王者一把就烫的掉帧，把壳摘了烫得拿不了只能用酒精湿巾垫着。鱼软件闪退。。 越来越垃圾了苹果，要不是买了两年ac真想直接换了，换也不知道该换什么了 我不能理解[话题] 苹果16pro[话题]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
| 卡顿    | 打游戏  |    | 仅提及                              |       |        | 7  |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |
| 卡顿    | 系统动画 | 12 | 华为 不适配的软件 刷新率低                   |       |        | 1  | 接下来是没有那好的地方了(仅基于个人真实使用情况)。1.割裂感：比如刷新率，不适配的软件就感觉很卡，有软件挂小窗也没有120帧                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |
| 卡顿    | 系统动画 |    | 华为 系统触屏 卡顿                       |       |        | 1  | 系统卡顿的不行，有时候触屏也卡顿，实用性都不及华为P40，这个手机是换那么多手机，第一次想摔的...新手机                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |
| 卡顿    | 系统动画 |    | 苹果 过渡动画 卡                        |       |        | 1  | iPhone17绷不住了。刚上手就这么卡，试了17其他型号也是这样，过度动画也改成史了，跟安卓比就是一坨，这下真不如安卓了[笑哭R]不知道的还以为是山寨机                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |
| 卡顿    | 日常使用 |    | 苹果 打字不跟手                         | 系统功能  | 输入法    | 1  | 从华为mate60pro+纯血鸿蒙转的17air，不打游戏，日常使用，打字不跟手，返回不顺滑，体验感真的拉。                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  |
| 卡顿    | 日常使用 |    | 苹果 打开APP 卡顿                      | 其他    | 开关APP  | 1  | 系统体验糟糕：iOS 26是苹果最差的系统。从首发至今，各版本在滑动、打开/关闭App等场景均有明显卡顿，严重拖垮硬件体验。                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          |
| 卡顿    | 系统动画 |    | 仅提及                              |       |        | 7  |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |
| 卡顿    | 系统   | 13 | 华为 新系统版本 卡顿                      |       |        | 1  | 上一个版本又丝滑又省电。 sp52怎么能这么卡！ 像掉帧一样！ 鸿蒙[话题] 系统更新[话题] 鸿蒙6[话题]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
| 卡顿    | 系统   |    | 仅提及                              |       |        | 12 |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |
| 卡顿    | 多APP | 10 | 仅提及                              |       |        | 10 | 不过受此启发，想起来最近卡顿之前，把B站的悬浮窗功能打开了，看视频挺爽，爽了两天之后，就出现卡顿的情况了。立刻马上，关掉悬浮窗功能                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       |
| 卡顿    | 多APP |    |                                  |       |        |    | 除了信号一无所有。用了四五年的苹果都是有高刷版的、今年想支持国货、盲选了华为mate60PRO.买完这个破手机体验一天就无语了，感觉软件切换根本就不流畅                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |
| 卡顿    | 多APP |    |                                  |       |        |    | 卡成ppt，但凡开超过两个以上软件同时运行，就不用买电磁炉了。                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |
| 卡顿    | 主观   | 20 | 仅提及                              |       |        | 20 | 换了之后嘞，手机感觉变得有点卡顿，我有点厌蠢症，别人跟不上我的反应速度我就会有点嫌弃，手机也是，最后决定把它优化了。                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| 稳定性   | 系统   | 9  | 华为 新机 闪退                         |       |        | 1  | 刚买回来，就闪退过一次，还有玩游戏发热严重                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |
| 稳定性   | 系统   |    | 仅提及                              |       |        | 8  |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |
| 稳定性   | 长期使用 | 7  | 苹果 使用五年 流畅                       |       |        | 1  | 耐用性上也是苹果更有优势，一部iPhone使用5年还能流畅运行。                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        |
| 稳定性   | 长期使用 |    | 苹果3-10年，华为3-5年 寿命                |       |        | 1  | 苹果手机 苹果手机的寿命普遍3年起步，保养得好甚至能用10年 。新，像iPhone16系列，性能和系统都很能打。 📱华为手机 华为手机正常使用3 - 5年没问题体验，现有的华为手机还能再战3 - 5年。                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  |
| 稳定性   | 长期使用 |    | 仅提及                              |       |        | 5  |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |
| 稳定性   | 多APP | 3  | 杀后台                              |       |        | 3  | 我的15p杀后台严重，80没感觉到杀后台                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |
| 稳定性   | 日常使用 | 1  | 仅提及                              |       |        | 1  | 如果是希望续航好，信号好，不想微信有延迟，玩法多，稳定选华为。                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |
| 稳定性   | 主观   | 7  | 仅提及                              |       |        | 7  |
